2018-11-14 09:15:05 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Accounting.hbm.xml
2018-11-14 09:15:05 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/CategoryFavorite.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/GoodsBackup.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Discount.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Goods.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Arrival.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/UserSwing.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/UserRoles.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/WriteoffList.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/CheckDiscount.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Total.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Barcode.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Trial.hbm.xml
2018-11-14 09:15:06 INFO  Configuration:757 - HHH000221: Reading mappings from resource: ml/model/Check.hbm.xml
